Record,Serial,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Fix_Status,DOP,V_GPS,Limit,Alerts,Trip,KeyTag,Engine RPM,V_ODO,V,Ay,Ax,Absolute throttle position,Relative throttle position,Absolute throttle position B,Accelerator pedal position D,Accelerator pedal position E
47,380,2009,12,11,14,40,24,0,0,1,0,0,0,0,782,0,1099.5,6,6,0,-2.0138362,NaN,NaN,NaN,NaN,NaN
48,380,2009,12,11,14,40,25,0,0,1,0,0,0,0,782,0,998.75,4,4,0,-1.998252082,20.384,NaN,NaN,NaN,NaN
49,380,2009,12,11,14,40,26,0,0,1,0,0,0,0,782,0,NaN,NaN,2,0,-0.873891435,20.384,NaN,NaN,NaN,NaN
50,380,2009,12,11,14,40,27,0,0,1,0,0,0,0,782,0,1004,0,0,0,2.081474574,NaN,NaN,NaN,NaN,NaN
51,380,2009,12,11,14,40,28,0,0,1,0,0,0,0,782,0,1485.25,2,2,0,4.523948469,26.656,NaN,NaN,NaN,NaN
52,380,2009,12,11,14,40,29,0,0,1,0,0,0,0,782,0,1822.5,NaN,7,0,5.060139294,28.616,NaN,NaN,NaN,NaN
53,380,2009,12,11,14,40,30,0,0,1,0,0,0,0,782,0,NaN,12,12,0,4.99240264,30.968,NaN,NaN,NaN,NaN
54,380,2009,12,11,14,40,31,0,0,1,0,0,0,0,782,0,2122.5,17,17,0,4.43779508,NaN,NaN,NaN,NaN,NaN
55,380,2009,12,11,14,40,32,0,0,1,0,0,0,0,782,0,2546.25,22,22,0,3.38152893,33.712,NaN,NaN,NaN,NaN
56,380,2009,12,11,14,40,33,0,0,1,0,0,0,0,782,0,NaN,NaN,25,0,3.233384032,35.672,NaN,NaN,NaN,NaN
57,380,2009,12,11,14,40,34,0,0,1,0,0,0,0,782,0,2170.75,28,28,0,2.97051674,32.928,NaN,NaN,NaN,NaN
58,380,2009,12,11,14,40,35,0,0,1,0,0,0,0,782,0,2149.25,32,32,0,1.173439362,NaN,NaN,NaN,NaN,NaN
59,380,2009,12,11,14,40,36,0,0,1,0,0,0,0,782,0,2150,33,33,0,-0.289031038,30.968,NaN,NaN,NaN,NaN
60,380,2009,12,11,14,40,37,0,0,1,0,0,0,0,782,0,NaN,NaN,32.5,0,-0.66744275,21.56,NaN,NaN,NaN,NaN
61,380,2009,12,11,14,40,38,0,0,1,0,0,0,0,782,0,1777.75,32,32,0,-1.182802923,20.384,NaN,NaN,NaN,NaN
62,380,2009,12,11,14,40,39,0,0,1,0,0,0,0,782,0,1264,31,31,0,-1.680862482,NaN,NaN,NaN,NaN,NaN
63,380,2009,12,11,14,40,40,0,0,1,0,0,0,0,782,0,1181.5,29,29,0,-1.617942927,20.384,NaN,NaN,NaN,NaN
64,380,2009,12,11,14,40,41,0,0,1,0,0,0,0,782,0,NaN,NaN,27.5,0,-1.062726826,20.384,NaN,NaN,NaN,NaN
65,380,2009,12,11,14,40,42,0,0,1,0,0,0,0,782,0,1116,26,26,0,0.275044792,33.32,NaN,NaN,NaN,NaN
66,380,2009,12,11,14,40,43,0,0,1,0,0,0,0,782,0,1870,26,26,0,1.232374313,NaN,NaN,NaN,NaN,NaN
67,380,2009,12,11,14,40,44,0,0,1,0,0,0,0,782,0,1713.25,28,28,0,0.829853125,27.048,NaN,NaN,NaN,NaN
68,380,2009,12,11,14,40,45,0,0,1,0,0,0,0,782,0,NaN,NaN,28.5,0,0.599121032,26.264,NaN,NaN,NaN,NaN
69,380,2009,12,11,14,40,46,0,0,1,0,0,0,0,782,0,1559,29,29,0,0.909851619,27.048,NaN,NaN,NaN,NaN
70,380,2009,12,11,14,40,47,0,0,1,0,0,0,0,782,0,1764.25,30,30,0,1.011388389,NaN,NaN,NaN,NaN,NaN
71,380,2009,12,11,14,40,48,0,0,1,0,0,0,0,782,0,2043,NaN,31,0,1.843308346,34.496,NaN,NaN,NaN,NaN
72,380,2009,12,11,14,40,49,0,0,1,0,0,0,0,782,0,NaN,32,32,0,2.582959449,32.144,NaN,NaN,NaN,NaN
73,380,2009,12,11,14,40,50,0,0,1,0,0,0,0,782,0,1804.5,36,36,0,1.222399234,NaN,NaN,NaN,NaN,NaN
74,380,2009,12,11,14,40,51,0,0,1,0,0,0,0,782,0,1498.75,37,37,0,-0.295216108,30.184,NaN,NaN,NaN,NaN
75,380,2009,12,11,14,40,52,0,0,1,0,0,0,0,782,0,1072.25,NaN,36.5,0,-2.074573117,20.384,NaN,NaN,NaN,NaN
76,380,2009,12,11,14,40,53,0,0,1,0,0,0,0,782,0,NaN,36,36,0,-4.947193843,20.384,NaN,NaN,NaN,NaN
77,380,2009,12,11,14,40,54,0,0,1,0,0,0,0,782,0,972.5,30,30,0,-4.725088624,NaN,NaN,NaN,NaN,NaN
78,380,2009,12,11,14,40,55,0,0,1,0,0,0,0,782,0,935.5,24,24,0,-1.937323592,20.384,NaN,NaN,NaN,NaN
79,380,2009,12,11,14,40,56,0,0,1,0,0,0,0,782,0,1178.75,NaN,23,0,-0.318423804,20.384,NaN,NaN,NaN,NaN
80,380,2009,12,11,14,40,57,0,0,1,0,0,0,0,782,0,NaN,22,22,0,1.729720349,31.36,NaN,NaN,NaN,NaN
81,380,2009,12,11,14,40,58,0,0,1,0,0,0,0,782,0,1791.25,23,23,0,3.723638328,39.2,NaN,NaN,NaN,NaN
82,380,2009,12,11,14,40,59,0,0,1,0,0,0,0,782,0,2171.75,28,28,0,3.471747909,NaN,NaN,NaN,NaN,NaN
83,380,2009,12,11,14,41,0,0,0,1,0,0,0,0,782,0,1989,NaN,31,0,3.221986724,38.024,NaN,NaN,NaN,NaN
84,380,2009,12,11,14,41,1,0,0,1,0,0,0,0,782,0,NaN,34,34,0,3.394330072,38.024,NaN,NaN,NaN,NaN
85,380,2009,12,11,14,41,2,0,0,1,0,0,0,0,782,0,2029.75,38,38,6.38E-06,2.457415424,NaN,NaN,NaN,NaN,NaN
197,380,2009,12,11,14,42,54,45.368138,-75.785073,2,0.8,41.5,50,0,782,0,1077.25,41,41.25,0.017479553,-2.135745426,20.384,NaN,NaN,NaN,NaN
198,380,2009,12,11,14,42,55,45.368067,-75.785177,2,0.8,39.3,50,0,782,0,NaN,NaN,39.15,0.035728354,-3.447079557,20.384,NaN,NaN,NaN,NaN
199,380,2009,12,11,14,42,56,45.368,-75.785272,2,0.8,36.3,50,0,782,0,1014.75,37,36.65,-0.041786563,-4.928676247,20.384,NaN,NaN,NaN,NaN
200,380,2009,12,11,14,42,57,45.36794,-75.785358,2,0.6,31.1,50,0,782,0,905.75,30,30.55,-0.056283826,-4.769665292,NaN,NaN,NaN,NaN,NaN
201,380,2009,12,11,14,42,58,45.36789,-75.785432,2,0.6,25.9,50,0,782,0,879.5,NaN,26.2,0.036819412,-5.02909804,20.384,NaN,NaN,NaN,NaN
202,380,2009,12,11,14,42,59,45.36785,-75.785492,2,0.6,20.7,50,0,782,0,NaN,23,21.85,-0.031760855,-5.728438159,20.384,NaN,NaN,NaN,NaN
203,380,2009,12,11,14,43,0,45.367818,-75.785537,2,0.6,14.8,50,0,782,0,850,15,14.9,-0.012523314,-3.922438654,NaN,NaN,NaN,NaN,NaN
204,380,2009,12,11,14,43,1,45.367797,-75.78557,2,0.6,11.1,50,0,782,0,830.25,10,10.55,0.011513708,-0.715284845,20.384,NaN,NaN,NaN,NaN
205,380,2009,12,11,14,43,2,45.36778,-75.785595,2,0.6,8.9,50,0,782,0,1823.25,NaN,9.7,0.035762081,1.948804964,31.752,NaN,NaN,NaN,NaN
206,380,2009,12,11,14,43,3,45.367762,-75.785622,2,0.6,11.9,50,0,782,0,NaN,11,11.45,0.071063451,3.555170332,32.144,NaN,NaN,NaN,NaN
207,380,2009,12,11,14,43,4,45.367738,-75.785655,2,0.6,14.8,50,0,782,0,2021,16,15.4,0.021412768,3.281843608,NaN,NaN,NaN,NaN,NaN
208,380,2009,12,11,14,43,5,45.367708,-75.785698,2,0.6,18.5,50,0,782,0,1536.75,20,19.25,0.003981285,1.922540197,29.792,NaN,NaN,NaN,NaN
209,380,2009,12,11,14,43,6,45.367673,-75.785747,2,0.6,20.7,50,0,782,0,NaN,NaN,20.85,-0.048142946,0.911614305,27.44,NaN,NaN,NaN,NaN
210,380,2009,12,11,14,43,7,45.367635,-75.785802,2,0.6,22.2,50,0,782,0,1568,22,22.1,-0.02833837,-0.143321903,20.384,NaN,NaN,NaN,NaN
211,380,2009,12,11,14,43,8,45.367597,-75.785858,2,0.6,22.2,50,0,782,0,1264,22,22.1,-0.167513695,-1.192698315,NaN,NaN,NaN,NaN,NaN
212,380,2009,12,11,14,43,9,45.367558,-75.785915,2,0.6,21.5,50,0,782,0,1153.5,20,20.75,-0.504989191,-1.482504762,20.384,NaN,NaN,NaN,NaN
213,380,2009,12,11,14,43,10,45.367527,-75.78597,2,0.6,19.3,50,0,782,0,1045.5,NaN,19.15,-1.146745161,-1.220627818,20.384,NaN,NaN,NaN,NaN
214,380,2009,12,11,14,43,11,45.367505,-75.78603,2,0.6,17.8,50,0,782,0,NaN,18,17.9,-1.496287129,-0.59199206,21.952,NaN,NaN,NaN,NaN
215,380,2009,12,11,14,43,12,45.367502,-75.786092,2,0.6,17,50,0,782,0,1100.75,17,17,-1.587458247,0.609792444,NaN,NaN,NaN,NaN,NaN
216,380,2009,12,11,14,43,13,45.367518,-75.786148,2,0.6,17.8,50,0,782,0,1300.5,17,17.4,-1.56999168,1.922199946,22.344,NaN,NaN,NaN,NaN
217,380,2009,12,11,14,43,14,45.367548,-75.786202,2,0.6,19.3,50,0,782,0,NaN,NaN,19.4,-1.060068339,2.432201949,30.184,NaN,NaN,NaN,NaN
218,380,2009,12,11,14,43,15,45.367585,-75.786255,2,0.6,22.2,50,0,782,0,1676,22,22.1,-0.571303271,1.987637548,23.128,NaN,NaN,NaN,NaN
219,380,2009,12,11,14,43,16,45.367628,-75.786315,2,0.6,24.4,50,0,782,0,1508,24,24.2,-0.325160689,1.297605879,NaN,NaN,NaN,NaN,NaN
220,380,2009,12,11,14,43,17,45.367675,-75.786378,2,0.6,25.9,50,0,782,0,1020,NaN,25.45,-0.108455439,0.835691579,20.776,NaN,NaN,NaN,NaN
221,380,2009,12,11,14,43,18,45.367725,-75.786443,2,0.6,26.7,50,0,782,0,NaN,26,26.35,-1.58E-05,0.035218775,20.384,NaN,NaN,NaN,NaN
222,380,2009,12,11,14,43,19,45.367775,-75.786512,2,0.6,26.7,50,0,782,0,1056.5,27,26.85,-0.029438247,-1.384202654,NaN,NaN,NaN,NaN,NaN
223,380,2009,12,11,14,43,20,45.367823,-75.786577,2,0.6,25.9,50,0,782,0,1010.5,25,25.45,0.001350223,-2.838065626,20.384,NaN,NaN,NaN,NaN
224,380,2009,12,11,14,43,21,45.36787,-75.78664,2,0.7,23.7,50,0,782,0,NaN,NaN,22.85,-0.081875898,-3.513226172,20.384,NaN,NaN,NaN,NaN
225,380,2009,12,11,14,43,22,45.367908,-75.786692,2,0.7,18.5,50,0,782,0,875,19,18.75,-0.067897912,-3.075955629,20.384,NaN,NaN,NaN,NaN
226,380,2009,12,11,14,43,23,45.367942,-75.786733,2,0.7,15.6,50,0,782,0,866.75,16,15.8,0.044491153,-2.441319001,NaN,NaN,NaN,NaN,NaN
227,380,2009,12,11,14,43,24,45.36797,-75.786768,2,0.7,12.6,50,0,782,0,835,NaN,13.3,0.082945752,-2.662283424,20.384,NaN,NaN,NaN,NaN
228,380,2009,12,11,14,43,25,45.367992,-75.786798,2,0.7,10.4,50,0,782,0,NaN,12,11.2,0.029998295,-3.408720573,20.384,NaN,NaN,NaN,NaN
229,380,2009,12,11,14,43,26,45.368007,-75.78682,2,0.7,6.7,50,0,782,0,882.25,8,7.35,0.003258814,-1.357426337,20.384,NaN,NaN,NaN,NaN
230,380,2009,12,11,14,43,27,45.368015,-75.786835,2,0.7,3.7,50,0,782,0,818.25,4,3.85,0.006069142,2.874673334,NaN,NaN,NaN,NaN,NaN
231,380,2009,12,11,14,43,28,45.368022,-75.786852,2,0.7,6.7,50,0,782,0,1681,10,8.35,0.075852971,4.043607998,28.224,NaN,NaN,NaN,NaN
232,380,2009,12,11,14,43,29,45.368025,-75.786887,2,0.7,11.9,50,0,782,0,1805.75,NaN,12.45,0.662180589,2.896319885,26.656,NaN,NaN,NaN,NaN
233,380,2009,12,11,14,43,30,45.36802,-75.786933,2,0.7,14.8,50,0,782,0,NaN,16,15.4,1.319213495,2.393616686,26.264,NaN,NaN,NaN,NaN
234,380,2009,12,11,14,43,31,45.368003,-75.786985,2,0.7,17,50,0,782,0,1523.5,18,17.5,1.404752024,2.65423051,28.224,NaN,NaN,NaN,NaN
235,380,2009,12,11,14,43,32,45.367975,-75.787037,2,0.7,19.3,50,0,782,0,2001.75,21,20.15,1.237182769,2.818414969,NaN,NaN,NaN,NaN,NaN
236,380,2009,12,11,14,43,33,45.367935,-75.78709,2,0.7,23,50,0,782,0,1886.75,NaN,23.25,0.699882297,2.4316166,29.4,NaN,NaN,NaN,NaN
237,380,2009,12,11,14,43,34,45.367888,-75.787145,2,0.7,25.2,50,0,782,0,NaN,26,25.6,0.236945034,1.818762088,26.264,NaN,NaN,NaN,NaN
238,380,2009,12,11,14,43,35,45.367837,-75.787207,2,0.7,27.4,50,0,782,0,1855,28,27.7,-0.079292984,0.995120115,NaN,NaN,NaN,NaN,NaN
239,380,2009,12,11,14,43,36,45.367783,-75.787275,2,0.7,28.9,50,0,782,0,1234.25,NaN,28.7,-0.291044482,0.676796777,21.56,NaN,NaN,NaN,NaN
240,380,2009,12,11,14,43,37,45.367732,-75.787347,2,0.7,28.9,50,0,782,0,NaN,29,28.95,-0.286438595,1.350570641,29.792,NaN,NaN,NaN,NaN
241,380,2009,12,11,14,43,38,45.367682,-75.787425,2,0.7,29.6,50,0,782,0,1791.75,31,30.3,-0.302173217,1.687826725,NaN,NaN,NaN,NaN,NaN
242,380,2009,12,11,14,43,39,45.36763,-75.787508,2,0.7,31.9,50,0,782,0,1645,33,32.45,-0.344134838,1.110214919,27.832,NaN,NaN,NaN,NaN
243,380,2009,12,11,14,43,40,45.367578,-75.7876,2,0.7,33.3,50,0,782,0,NaN,NaN,33.4,-0.230464605,0.732652508,26.264,NaN,NaN,NaN,NaN
244,380,2009,12,11,14,43,41,45.367527,-75.787695,2,0.7,34.1,50,0,782,0,1588.75,34,34.05,-0.047852517,0.470609153,21.56,NaN,NaN,NaN,NaN
245,380,2009,12,11,14,43,42,45.367475,-75.787793,2,0.7,34.8,50,0,782,0,1516.75,35,34.9,0.059005416,0.08133941,NaN,NaN,NaN,NaN,NaN
246,380,2009,12,11,14,43,43,45.36742,-75.787892,2,0.7,34.1,50,0,782,0,1229,NaN,34.55,-0.014358014,0.229069436,26.656,NaN,NaN,NaN,NaN
247,380,2009,12,11,14,43,44,45.367365,-75.78799,2,0.7,34.8,50,0,782,0,NaN,35,34.9,-0.090403579,0.604622076,23.912,NaN,NaN,NaN,NaN
248,380,2009,12,11,14,43,45,45.367312,-75.788088,2,0.7,34.8,50,0,782,0,1550.75,36,35.4,-0.042645601,0.669811682,NaN,NaN,NaN,NaN,NaN
249,380,2009,12,11,14,43,46,45.367258,-75.78819,2,0.7,35.6,50,0,782,0,1470.5,37,36.3,0.022811652,0.365914858,27.048,NaN,NaN,NaN,NaN
250,380,2009,12,11,14,43,47,45.367203,-75.788292,2,0.7,36.3,50,0,782,0,NaN,NaN,36.65,-0.005461046,0.052328024,27.048,NaN,NaN,NaN,NaN
251,380,2009,12,11,14,43,48,45.367147,-75.788395,2,0.7,36.3,50,0,782,0,1421.75,37,36.65,-0.043384287,-0.077006153,25.872,NaN,NaN,NaN,NaN
252,380,2009,12,11,14,43,49,45.367092,-75.788498,2,0.7,36.3,50,0,782,0,1472.5,37,36.65,0.01217265,-0.30001244,NaN,NaN,NaN,NaN,NaN
253,380,2009,12,11,14,43,50,45.367037,-75.788602,2,0.7,36.3,50,0,782,0,1080.75,NaN,36.4,0.061005395,-0.623818125,21.952,NaN,NaN,NaN,NaN
254,380,2009,12,11,14,43,51,45.366982,-75.788703,2,0.7,35.6,50,0,782,0,NaN,36,35.8,0.053778857,-0.836336064,22.736,NaN,NaN,NaN,NaN
255,380,2009,12,11,14,43,52,45.366927,-75.788803,2,0.7,34.8,50,0,782,0,1129.75,35,34.9,-0.041535599,-0.626460281,NaN,NaN,NaN,NaN,NaN
256,380,2009,12,11,14,43,53,45.366873,-75.7889,2,0.7,34.1,50,0,782,0,1251.25,34,34.05,-0.053542955,-0.160204655,23.52,NaN,NaN,NaN,NaN
257,380,2009,12,11,14,43,54,45.366822,-75.788997,2,0.7,34.1,50,3,782,0,1390.75,NaN,34.05,0.031665372,0.161029727,23.912,NaN,NaN,NaN,NaN
258,380,2009,12,11,14,43,55,45.36677,-75.789093,2,0.7,34.1,50,3,782,0,NaN,34,34.05,0.081109735,0.261239559,21.168,NaN,NaN,NaN,NaN
259,380,2009,12,11,14,43,56,45.366717,-75.78919,2,0.7,34.1,50,3,782,0,1058.5,35,34.55,0.070147045,0.276738348,26.656,NaN,NaN,NaN,NaN
260,380,2009,12,11,14,43,57,45.366663,-75.789285,2,0.7,34.1,50,3,782,0,1564,35,34.55,0.024983166,0.485967154,NaN,NaN,NaN,NaN,NaN
261,380,2009,12,11,14,43,58,45.366608,-75.789383,2,0.7,34.8,50,3,782,0,1076.75,NaN,35.15,0.01026075,-0.019154577,27.048,NaN,NaN,NaN,NaN
262,380,2009,12,11,14,43,59,45.366553,-75.78948,2,0.7,35.6,50,3,782,0,NaN,36,35.8,-0.056742916,-1.813786337,20.384,NaN,NaN,NaN,NaN
263,380,2009,12,11,14,44,0,45.366498,-75.789578,2,0.7,34.1,50,3,782,0,982.5,34,34.05,-0.053741595,-3.769334793,NaN,NaN,NaN,NaN,NaN
264,380,2009,12,11,14,44,1,45.366447,-75.789672,2,0.7,31.9,50,3,782,0,905,29,30.45,-0.006844096,-5.169548288,20.384,NaN,NaN,NaN,NaN
265,380,2009,12,11,14,44,2,45.366403,-75.789753,2,0.7,25.9,50,3,782,0,NaN,NaN,25.2,-0.01519129,-6.625837786,20.384,NaN,NaN,NaN,NaN
266,380,2009,12,11,14,44,3,45.366368,-75.789817,2,0.7,18.5,50,3,782,0,861.75,20,19.25,0.035794214,-6.301074467,20.384,NaN,NaN,NaN,NaN
267,380,2009,12,11,14,44,4,45.366345,-75.78986,2,0.7,11.1,50,3,782,0,818.25,10,10.55,0.220891608,-1.864942336,NaN,NaN,NaN,NaN,NaN
268,380,2009,12,11,14,44,5,45.36633,-75.789885,2,0.7,8.1,50,3,782,0,1779.5,9,8.55,0.796570224,2.629046935,23.128,NaN,NaN,NaN,NaN
269,380,2009,12,11,14,44,6,45.366308,-75.789905,2,0.7,11.1,50,3,782,0,NaN,NaN,11.8,1.47044031,3.70858078,30.576,NaN,NaN,NaN,NaN
270,380,2009,12,11,14,44,7,45.366277,-75.78992,2,0.7,15.6,50,3,782,0,1883,16,15.8,1.979897092,3.375096299,27.048,NaN,NaN,NaN,NaN
271,380,2009,12,11,14,44,8,45.366235,-75.789918,2,0.7,17.8,50,3,782,0,1905.25,20,18.9,2.420534011,3.304592248,NaN,NaN,NaN,NaN,NaN
272,380,2009,12,11,14,44,9,45.36619,-75.789895,2,0.7,20.7,50,3,782,0,2109,24,22.35,2.162483652,3.088233106,35.28,NaN,NaN,NaN,NaN
273,380,2009,12,11,14,44,10,45.366142,-75.789847,2,0.7,25.2,50,3,782,0,NaN,NaN,25.6,1.306210104,2.805825043,35.28,NaN,NaN,NaN,NaN
274,380,2009,12,11,14,44,11,45.36609,-75.789783,2,0.7,28.2,50,3,782,0,2076.25,28,28.1,0.658903587,2.306495023,32.928,NaN,NaN,NaN,NaN
275,380,2009,12,11,14,44,12,45.366033,-75.789712,2,0.7,30.4,50,3,782,0,2129,32,31.2,0.358899333,0.933505116,NaN,NaN,NaN,NaN,NaN
276,380,2009,12,11,14,44,13,45.365973,-75.789637,2,0.7,31.9,50,3,782,0,1949,32,31.95,0.184128819,-0.32911588,26.656,NaN,NaN,NaN,NaN
277,380,2009,12,11,14,44,14,45.365915,-75.78956,2,0.7,31.9,50,3,782,0,NaN,NaN,31.7,0.023297949,-0.986198553,23.912,NaN,NaN,NaN,NaN
278,380,2009,12,11,14,44,15,45.365857,-75.789485,2,0.7,30.4,50,3,782,0,1324.25,31,30.7,0.067821851,-1.607145569,27.048,NaN,NaN,NaN,NaN
279,380,2009,12,11,14,44,16,45.3658,-75.789412,2,0.7,29.6,50,3,782,0,1173.75,29,29.3,0.101984849,-2.38752787,NaN,NaN,NaN,NaN,NaN
280,380,2009,12,11,14,44,17,45.365747,-75.78934,2,0.7,27.4,50,3,782,0,989.25,NaN,26.95,0.287519237,-3.429351154,19.992,NaN,NaN,NaN,NaN
281,380,2009,12,11,14,44,18,45.3657,-75.789275,2,0.7,23.7,50,0,782,0,NaN,24,23.85,0.587938069,-4.80420381,20.384,NaN,NaN,NaN,NaN
282,380,2009,12,11,14,44,19,45.365667,-75.789217,2,0.7,19.3,50,0,782,0,892,19,19.15,0.620117698,-4.883943639,NaN,NaN,NaN,NaN,NaN
283,380,2009,12,11,14,44,20,45.365648,-75.789162,2,0.7,14.1,50,0,782,0,887.25,12,13.05,0.460360967,-3.099901385,20.384,NaN,NaN,NaN,NaN
284,380,2009,12,11,14,44,21,45.365643,-75.789118,2,0.7,10.4,50,0,782,0,NaN,NaN,10.45,0.360743481,-2.029999548,20.384,NaN,NaN,NaN,NaN
285,380,2009,12,11,14,44,22,45.365645,-75.789085,2,0.7,8.1,50,0,782,0,911.75,9,8.55,0.180314784,-1.869498121,20.384,NaN,NaN,NaN,NaN
286,380,2009,12,11,14,44,23,45.36565,-75.789058,2,0.7,6.7,50,0,782,0,859.25,6,6.35,0.046051148,-1.016868898,NaN,NaN,NaN,NaN,NaN
